                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2463,                 2.2741,                 2.0564,                0.04328,                0.05955,                0.00808,                0.00293,                 2.3197,                  76.97,                 1.8896,             0.00066225,             0.00066225,             0.00066225
                      2,                 2.1676,                 1.8871,                 2.0383,                0.00442,                 0.0356,                0.00206,                0.00092,                 2.3298,                    inf,                 2.4227,              0.0013158,              0.0013158,              0.0013158
                      3,                 2.0628,                 1.7729,                 1.9389,                0.14272,                 0.0356,                0.02327,                0.01065,                 2.0336,                 6.9461,                 1.4234,              0.0019561,              0.0019561,              0.0019561
                      4,                 1.9582,                 1.6748,                 1.8695,                0.17131,                0.03929,                 0.0258,                0.01397,                 1.9659,                 4.1433,                 1.3219,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8506,                 1.5607,                 1.8001,                0.10281,                0.03008,                0.02099,                0.01075,                 2.1819,                 3.7337,                 1.4441,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.8191,                 1.5103,                 1.7817,                0.14794,                0.02578,                0.01829,                0.01032,                 1.9384,                 5.2085,                 1.2932,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7532,                 1.4469,                 1.7225,                0.14697,                0.03192,                0.03129,                0.01575,                 1.8838,                 3.0761,                 1.2425,               0.001901,               0.001901,               0.001901
                      8,                 1.6819,                 1.3768,                 1.6717,                0.20354,                0.02824,                0.02636,                0.01526,                 1.7721,                 2.6638,                 1.1876,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6433,                 1.3195,                 1.6579,                0.25662,                0.03254,                0.03929,                0.02279,                  1.746,                 2.7215,                 1.1642,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6234,                 1.2693,                 1.6237,                0.25513,                 0.0356,                0.04871,                0.03023,                 1.5276,                 2.3167,                 1.0757,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.5579,                    1.2,                 1.5897,                0.23777,                0.03131,                0.03607,                0.02244,                 1.6112,                 2.6194,                 1.1051,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5217,                 1.1867,                 1.5603,                0.20023,                0.03745,                0.04385,                0.02623,                 1.5394,                 2.4728,                 1.0853,               0.001802,               0.001802,               0.001802
                     13,                 1.5094,                 1.1565,                 1.5578,                0.28742,                0.03438,                0.04159,                0.02299,                 1.6912,                 2.6363,                 1.1588,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4478,                 1.0931,                 1.5132,                0.43316,                0.03867,                0.05598,                0.03329,                  1.529,                 2.1706,                 1.0798,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4471,                 1.0929,                 1.5051,                0.34233,                0.03499,                0.05281,                0.03063,                 1.6651,                 2.2334,                 1.1373,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3875,                 1.0559,                 1.4672,                 0.3219,                0.03806,                0.05637,                0.03398,                 1.6437,                 2.2508,                 1.1217,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3431,                 1.0041,                 1.4413,                0.24852,                 0.0399,                0.05295,                0.03242,                 1.4948,                 2.2286,                 1.0379,               0.001703,               0.001703,               0.001703
