                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95133,                0.62452,                  1.145,                0.80138,                0.24322,                0.28082,                 0.2011,                 1.0924,                 1.3397,                0.85084,             0.00065278,             0.00065278,             0.00065278
                      2,                0.99492,                0.65536,                 1.1533,                0.65181,                0.12965,                0.15525,                0.10244,                 1.2146,                 1.5514,                0.92039,              0.0013064,              0.0013064,              0.0013064
                      3,                 1.0173,                0.67245,                 1.1675,                0.65585,                0.11859,                0.15133,                  0.089,                 1.3915,                 1.7154,                 1.0425,              0.0019468,              0.0019468,              0.0019468
                      4,                0.99762,                0.66274,                 1.1559,                 0.6444,                0.10854,                0.14498,                0.09918,                 1.1905,                 1.5328,                0.89168,              0.0019406,              0.0019406,              0.0019406
                      5,                0.97318,                0.65015,                 1.1376,                 0.7518,                0.10854,                0.18113,                0.12199,                 1.1708,                 1.4664,                 0.8937,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.0143,                0.66623,                 1.1554,                0.47634,                0.05829,                0.08596,                0.05374,                  1.271,                 1.6408,                0.95883,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0067,                0.65517,                 1.1629,                0.52557,                 0.0794,                0.09582,                0.05642,                 1.3714,                 1.9598,                0.99812,               0.001901,               0.001901,               0.001901
                      8,                0.98966,                0.64889,                 1.1547,                0.63351,                0.07538,                0.10782,                0.06373,                 1.3138,                  1.723,                0.96775,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0297,                0.67919,                 1.1716,                0.60277,                0.08945,                0.11549,                0.07709,                 1.1976,                  1.509,                0.88458,              0.0018614,              0.0018614,              0.0018614
                     10,                0.99448,                0.64689,                 1.1471,                0.66577,                0.09246,                0.12229,                 0.0732,                 1.3305,                 1.7273,                0.96776,              0.0018416,              0.0018416,              0.0018416
                     11,                0.98604,                0.64938,                 1.1424,                0.55425,                0.08241,                0.12373,                0.07989,                 1.2915,                 1.5616,                0.95796,              0.0018218,              0.0018218,              0.0018218
                     12,                0.99515,                0.65376,                 1.1421,                0.66854,                0.08342,                0.11963,                0.07806,                 1.1892,                 1.4142,                0.90036,               0.001802,               0.001802,               0.001802
                     13,                0.97238,                0.63315,                 1.1283,                0.74924,                0.13367,                0.18752,                 0.1269,                 1.2029,                 1.4797,                0.91229,              0.0017822,              0.0017822,              0.0017822
                     14,                0.94886,                0.62287,                 1.1302,                0.74866,                 0.1005,                0.15243,                0.09965,                 1.1798,                 1.5025,                0.86376,              0.0017624,              0.0017624,              0.0017624
                     15,                0.95693,                0.61955,                 1.1203,                0.60632,                0.06834,                0.10564,                0.06655,                 1.2633,                 1.6342,                0.93084,              0.0017426,              0.0017426,              0.0017426
                     16,                0.94897,                0.62206,                  1.131,                0.62603,                0.04623,                0.07953,                0.05152,                 1.0949,                 1.3742,                0.84162,              0.0017228,              0.0017228,              0.0017228
                     17,                0.92934,                0.60425,                 1.1161,                0.52906,                0.06332,                0.10385,                0.07049,                  1.176,                 1.4785,                0.89402,               0.001703,               0.001703,               0.001703
                     18,                0.92756,                0.60411,                 1.1086,                0.66636,                0.07136,                0.12192,                0.08291,                 1.2043,                 1.4255,                 0.8914,              0.0016832,              0.0016832,              0.0016832
                     19,                0.92349,                0.61264,                  1.108,                0.54762,                0.08241,                0.15521,                0.09984,                 1.2703,                 1.6175,                0.94246,              0.0016634,              0.0016634,              0.0016634
                     20,                0.92836,                0.61141,                 1.0968,                0.77415,                0.06432,                0.11977,                0.08493,                  1.077,                 1.2709,                0.83715,              0.0016436,              0.0016436,              0.0016436
                     21,                0.91485,                0.59715,                 1.1014,                0.55593,                0.10352,                0.15256,                 0.0954,                 1.3077,                 1.6055,                0.97421,              0.0016238,              0.0016238,              0.0016238
