                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8891,                 2.6737,                  1.686,                0.32904,                0.05734,                 0.0479,                0.02647,                 1.4436,                 3.5936,                0.89732,              0.0033201,              0.0033201,              0.0033201
                      2,                 1.2843,                 1.4004,                 1.2543,                0.37678,                0.02867,                0.02972,                0.01725,                 1.4225,                 2.8641,                0.86934,              0.0065875,              0.0065875,              0.0065875
                      3,                 1.2367,                 1.1497,                 1.2336,                0.18822,                0.02305,                0.02385,                0.01465,                 1.4636,                 3.0564,                0.93446,               0.009789,               0.009789,               0.009789
                      4,                 1.2205,                 1.0674,                  1.239,                0.22951,                0.02024,                0.02235,                0.01439,                 1.3143,                 2.5978,                0.87204,               0.009703,               0.009703,               0.009703
                      5,                  1.107,                0.92697,                 1.1932,                0.23207,                0.01911,                0.02672,                0.01647,                 1.2346,                 2.5011,                0.87283,               0.009604,               0.009604,               0.009604
                      6,                 1.0321,                0.83483,                 1.1571,                0.32571,                0.01761,                0.03361,                0.02342,                 1.1617,                 2.0494,                0.84735,               0.009505,               0.009505,               0.009505
                      7,                0.97104,                0.76736,                 1.1228,                 0.1943,                0.01705,                0.02139,                0.01391,                 1.1133,                  2.152,                0.82709,               0.009406,               0.009406,               0.009406
                      8,                0.91643,                0.71525,                 1.0957,                0.29626,                0.02174,                0.03581,                0.02292,                 1.1061,                 2.0295,                0.82719,               0.009307,               0.009307,               0.009307
                      9,                0.87002,                0.68344,                  1.067,                0.26745,                0.01818,                0.03778,                0.02526,                 1.0872,                 1.8667,                0.81771,               0.009208,               0.009208,               0.009208
                     10,                0.84274,                0.65169,                 1.0519,                0.31996,                0.02342,                0.03714,                0.02584,                 1.1022,                 1.9803,                0.83523,               0.009109,               0.009109,               0.009109
                     11,                0.80591,                0.61935,                 1.0337,                0.33793,                0.02492,                0.04515,                0.03009,                 1.0649,                   1.83,                0.81198,                0.00901,                0.00901,                0.00901
                     12,                 0.7782,                0.59364,                 1.0161,                0.47165,                0.03654,                0.05463,                0.03633,                 1.0317,                 1.7411,                0.80802,               0.008911,               0.008911,               0.008911
                     13,                0.74778,                0.57114,                0.99872,                0.39159,                0.03448,                0.04695,                0.03169,                 1.0508,                 1.8404,                0.82395,               0.008812,               0.008812,               0.008812
                     14,                0.72568,                0.54391,                 0.9873,                0.53452,                0.05565,                0.08531,                0.05712,                 1.0307,                 1.7487,                0.81481,               0.008713,               0.008713,               0.008713
                     15,                0.70194,                0.51935,                0.97451,                0.58728,                0.10793,                0.13418,                 0.0902,                 1.0324,                 1.7522,                0.82368,               0.008614,               0.008614,               0.008614
                     16,                0.68202,                0.50398,                0.96175,                 0.6016,                0.12194,                0.15157,                 0.1036,                 1.0509,                 1.8022,                0.83053,               0.008515,               0.008515,               0.008515
                     17,                0.65309,                0.48132,                0.94541,                0.62229,                0.14615,                0.18144,                0.11791,                  1.036,                 1.6398,                0.82856,               0.008416,               0.008416,               0.008416
                     18,                0.63907,                0.46543,                0.93719,                 0.5444,                0.15814,                0.17748,                 0.1204,                 1.0349,                 1.7724,                0.82681,               0.008317,               0.008317,               0.008317
                     19,                0.62004,                 0.4511,                0.92637,                0.62349,                 0.1662,                0.18981,                0.12791,                 1.0173,                  1.757,                 0.8249,               0.008218,               0.008218,               0.008218
                     20,                0.60613,                0.43382,                0.91824,                0.66422,                0.16414,                0.20006,                0.13282,                 1.0212,                 1.6577,                0.82975,               0.008119,               0.008119,               0.008119
                     21,                 0.5823,                0.41639,                0.90261,                0.58313,                0.17377,                0.20326,                0.13673,                 1.0307,                 1.7218,                0.84626,                0.00802,                0.00802,                0.00802
                     22,                0.56888,                0.40964,                0.89953,                0.62403,                0.16526,                0.18807,                 0.1267,                 1.0198,                 1.7465,                0.83739,               0.007921,               0.007921,               0.007921
                     23,                0.55385,                0.39667,                0.88752,                0.57905,                0.15589,                0.19337,                0.13073,                0.99542,                 1.6386,                0.82799,               0.007822,               0.007822,               0.007822
                     24,                0.53773,                0.38592,                0.88275,                0.62936,                0.16076,                0.20568,                0.14093,                 1.0087,                 1.6553,                0.83825,               0.007723,               0.007723,               0.007723
                     25,                0.52084,                0.37534,                0.87126,                    0.6,                0.12085,                 0.1762,                0.12091,                 1.0447,                 1.7166,                0.87145,               0.007624,               0.007624,               0.007624
                     26,                0.50962,                0.36537,                0.86829,                0.57036,                0.11654,                0.16273,                0.11088,                 1.0511,                 1.7826,                0.86587,               0.007525,               0.007525,               0.007525
                     27,                0.49509,                0.35532,                 0.8608,                0.60592,                0.11542,                0.15417,                0.10477,                 1.0223,                 1.6909,                0.85655,               0.007426,               0.007426,               0.007426
                     28,                0.48109,                0.34499,                0.85103,                0.60451,                0.11842,                0.17309,                0.12004,                 1.0435,                   1.72,                0.87074,               0.007327,               0.007327,               0.007327
                     29,                 0.4657,                0.33517,                0.84428,                0.64613,                0.12591,                 0.1817,                0.12363,                 1.0271,                 1.6993,                 0.8562,               0.007228,               0.007228,               0.007228
                     30,                0.46801,                0.33737,                 0.8484,                0.60353,                0.10661,                0.17369,                0.11977,                 1.0176,                 1.6711,                0.86145,               0.007129,               0.007129,               0.007129
                     31,                0.45044,                0.32494,                0.84199,                0.63071,                 0.1128,                0.17445,                0.12146,                 1.0108,                 1.6471,                0.85627,                0.00703,                0.00703,                0.00703
                     32,                0.44057,                0.31678,                0.83631,                0.65804,                0.13266,                0.19412,                0.13381,                 1.0297,                 1.7029,                0.87636,               0.006931,               0.006931,               0.006931
                     33,                0.43402,                0.31514,                0.83413,                0.59855,                0.11411,                0.19322,                0.13347,                 1.0234,                 1.6797,                0.87293,               0.006832,               0.006832,               0.006832
                     34,                0.42592,                0.31077,                0.82927,                0.59279,                0.09912,                 0.1679,                0.11649,                  1.047,                 1.7216,                0.87801,               0.006733,               0.006733,               0.006733
                     35,                0.41187,                0.30012,                0.82286,                0.50336,                0.11411,                0.16524,                0.11303,                  1.013,                 1.6983,                  0.866,               0.006634,               0.006634,               0.006634
                     36,                0.40055,                0.29281,                0.82196,                0.61084,                 0.1128,                0.18356,                 0.1268,                 1.0744,                  1.795,                0.89797,               0.006535,               0.006535,               0.006535
                     37,                0.39286,                0.28828,                0.81819,                0.59423,                0.10437,                0.18265,                0.12772,                 1.0182,                 1.7141,                0.87132,               0.006436,               0.006436,               0.006436
                     38,                0.38484,                0.28074,                0.81594,                0.56513,                0.10212,                0.19014,                0.13117,                  1.009,                 1.6894,                0.86187,               0.006337,               0.006337,               0.006337
                     39,                0.37669,                0.27894,                0.81335,                0.57375,                0.09369,                0.18459,                0.13165,                 1.0312,                 1.6669,                0.88049,               0.006238,               0.006238,               0.006238
                     40,                 0.3699,                0.27221,                0.81001,                0.56577,                0.09406,                0.18216,                0.12757,                 1.0266,                 1.6589,                0.87908,               0.006139,               0.006139,               0.006139
                     41,                 0.3624,                0.26789,                0.81117,                0.55835,                0.09612,                0.16138,                0.11096,                   1.02,                 1.6863,                0.87878,                0.00604,                0.00604,                0.00604
                     42,                 0.3529,                0.26352,                0.80657,                0.55676,                0.07907,                0.15105,                0.10679,                 1.0329,                 1.7112,                0.88703,               0.005941,               0.005941,               0.005941
                     43,                0.34482,                0.25736,                 0.8039,                0.57518,                0.08151,                0.16048,                0.11401,                 1.0188,                 1.6817,                0.88143,               0.005842,               0.005842,               0.005842
