                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0799,                 4.0469,                 3.7485,                0.00035,                0.05714,                0.00024,                  3e-05,                 5.4554,                 5.8989,                 3.9575,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.0562,                 3.0861,                 2.4562,                0.00316,                0.51429,                0.06577,                0.01626,                 3.8216,                 4.2584,                 2.2127,             0.00021782,             0.00021782,             0.00021782
                      3,                 2.5915,                 2.7713,                 1.9751,                0.00333,                0.54286,                0.06103,                0.02702,                 3.4905,                 3.9168,                 2.0507,             0.00033327,             0.00033327,             0.00033327
