                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6715,                  1.753,                 1.3207,                0.53516,                 0.0689,                0.06638,                0.04216,                 1.2535,                 2.7379,                0.71815,              0.0033058,              0.0033058,              0.0033058
                      2,                 1.0913,                 0.7979,                 1.0004,                0.43903,                0.06301,                0.06545,                0.04279,                 1.1546,                 2.9619,                0.69288,              0.0066172,              0.0066172,              0.0066172
                      3,                 1.0689,                0.76009,                0.97607,                0.53416,                0.03095,                0.03454,                0.01865,                 1.4387,                 6.3833,                0.76387,              0.0099066,              0.0099066,              0.0099066
                      4,                 1.0947,                0.76704,                0.98386,                0.33701,                0.03427,                0.03547,                0.02198,                 1.2178,                 2.3851,                0.71833,               0.009901,               0.009901,               0.009901
                      5,                 1.0103,                0.68662,                0.95992,                0.48188,                0.02727,                0.03103,                0.02028,                 1.1901,                 1.9242,                0.70639,               0.009901,               0.009901,               0.009901
                      6,                0.93154,                0.62167,                0.93153,                0.69252,                0.02616,                 0.0296,                0.02202,                   1.11,                 2.2609,                0.68924,               0.009868,               0.009868,               0.009868
                      7,                0.86001,                0.56955,                0.90942,                0.57639,                0.02911,                0.03288,                0.02442,                0.99809,                 2.9174,                0.66273,               0.009835,               0.009835,               0.009835
                      8,                0.80427,                0.53663,                0.89339,                0.52278,                0.03021,                0.03489,                0.02402,                0.97315,                  1.652,                0.66457,               0.009802,               0.009802,               0.009802
                      9,                0.75945,                 0.5017,                0.87917,                0.58644,                0.02763,                0.02743,                0.02014,                0.98654,                 1.6474,                0.65963,               0.009769,               0.009769,               0.009769
                     10,                0.72613,                0.47934,                0.86944,                0.75677,                0.02174,                0.03055,                0.02272,                0.93133,                 1.3295,                0.64812,               0.009736,               0.009736,               0.009736
                     11,                0.69303,                0.45713,                0.85667,                0.58667,                0.02174,                0.05669,                0.04189,                 0.9564,                 1.2207,                 0.6706,               0.009703,               0.009703,               0.009703
                     12,                0.65536,                0.43007,                0.84813,                0.54187,                0.02579,                 0.0367,                0.02893,                0.88519,                 1.1885,                0.64034,                0.00967,                0.00967,                0.00967
                     13,                0.63279,                 0.4163,                0.84321,                0.68837,                0.03316,                0.08663,                0.06591,                0.88631,                 1.1883,                0.64511,               0.009637,               0.009637,               0.009637
                     14,                0.61213,                0.40379,                  0.837,                0.64566,                0.02027,                0.03123,                0.02288,                0.87837,                 1.2904,                0.65083,               0.009604,               0.009604,               0.009604
                     15,                0.59624,                0.39477,                0.83364,                  0.819,                0.02358,                0.03036,                0.02367,                0.84933,                 1.2168,                  0.639,               0.009571,               0.009571,               0.009571
                     16,                0.57144,                0.38052,                0.82993,                0.67478,                0.03795,                0.04294,                0.03272,                0.86809,                 1.1689,                0.64156,               0.009538,               0.009538,               0.009538
                     17,                0.55641,                0.37004,                0.82415,                0.75989,                0.02321,                0.04478,                0.03445,                0.84335,                 1.1533,                0.63944,               0.009505,               0.009505,               0.009505
                     18,                0.53151,                0.35352,                 0.8181,                0.79559,                0.02616,                0.05604,                0.04448,                0.81406,                 1.0657,                0.63538,               0.009472,               0.009472,               0.009472
                     19,                0.51391,                0.34144,                0.81374,                0.78474,                0.11017,                0.12118,                0.09403,                0.79873,                  1.039,                0.63402,               0.009439,               0.009439,               0.009439
                     20,                0.49291,                0.33341,                0.80999,                0.83833,                0.04679,                0.05687,                0.04462,                0.79605,                 1.2866,                0.63173,               0.009406,               0.009406,               0.009406
