                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7439,                 2.6612,                  1.421,                0.27048,                0.06015,                0.04295,                0.02064,                 1.7281,                 5.2082,                0.99293,             0.00055126,             0.00055126,             0.00055126
                      2,                 1.4184,                 1.5481,                 1.2388,                0.26762,                0.03992,                0.03016,                0.01386,                 1.5512,                 4.6809,                0.89323,              0.0010339,              0.0010339,              0.0010339
                      3,                 1.2743,                 1.1924,                 1.1545,                0.17609,                0.03103,                0.02497,                0.01049,                   1.47,                 3.8958,                0.84729,              0.0014431,              0.0014431,              0.0014431
                      4,                 1.2288,                 1.0374,                 1.1349,                0.19235,                 0.0301,                0.02866,                0.01419,                 1.3859,                 2.9946,                0.80475,              0.0013369,              0.0013369,              0.0013369
                      5,                 1.1216,                0.89455,                 1.0808,                0.16533,                0.02269,                0.02666,                0.01704,                 1.2931,                  2.521,                0.79062,              0.0012269,              0.0012269,              0.0012269
                      6,                0.99862,                0.77355,                 1.0315,                 0.3039,                0.02728,                0.03612,                0.02429,                 1.2926,                 2.4898,                0.79998,              0.0011169,              0.0011169,              0.0011169
                      7,                0.92186,                0.69252,                 0.9957,                0.29981,                0.02401,                 0.0299,                0.01969,                 1.2159,                 2.2065,                0.76816,              0.0010069,              0.0010069,              0.0010069
                      8,                0.83456,                0.61899,                0.95925,                 0.3317,                0.03238,                0.04872,                0.03049,                 1.1773,                 2.1607,                0.75878,             0.00089685,             0.00089685,             0.00089685
                      9,                0.77522,                0.55232,                0.93693,                0.59943,                0.04743,                0.07017,                 0.0455,                 1.1707,                  1.961,                0.75344,             0.00078682,             0.00078682,             0.00078682
                     10,                0.71052,                0.52719,                0.91532,                0.46873,                0.04718,                0.07346,                0.05014,                  1.102,                 1.8598,                0.74531,              0.0006768,              0.0006768,              0.0006768
                     11,                0.65826,                0.48769,                  0.896,                0.58637,                0.04402,                0.06626,                0.04425,                  1.083,                 1.7012,                0.74046,             0.00056678,             0.00056678,             0.00056678
                     12,                0.59342,                0.42537,                0.87803,                0.39579,                0.04016,                0.07247,                0.05252,                 1.0846,                  1.714,                0.74211,             0.00045676,             0.00045676,             0.00045676
                     13,                0.52878,                0.38021,                  0.857,                0.45563,                0.06865,                 0.0995,                0.06863,                 1.0571,                 1.6684,                0.73838,             0.00034674,             0.00034674,             0.00034674
                     14,                0.46862,                0.34802,                0.84083,                0.62945,                0.13507,                0.15894,                0.11063,                 1.0462,                 1.6272,                0.73785,             0.00023671,             0.00023671,             0.00023671
                     15,                0.41854,                0.32068,                0.82488,                0.64282,                0.21512,                0.24076,                0.16433,                 1.0414,                 1.6101,                0.74044,             0.00012669,             0.00012669,             0.00012669
