                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.891,                 2.0953,                 1.7818,                0.28768,                0.09565,                0.07491,                0.03027,                 2.1525,                 3.8104,                 1.0448,             0.00066007,             0.00066007,             0.00066007
                      2,                 1.4591,                 1.7564,                 1.3868,                0.19871,                0.05273,                0.03577,                0.02027,                 1.5897,                 4.2826,                0.67645,              0.0013136,              0.0013136,              0.0013136
                      3,                 1.3637,                 1.7049,                 1.2837,                 0.1986,                0.02882,                0.02589,                0.01426,                 1.6037,                  3.623,                0.67931,              0.0019539,              0.0019539,              0.0019539
                      4,                 1.3038,                 1.6427,                   1.22,                0.12509,                0.02698,                0.03103,                0.01877,                 1.5158,                 3.1227,                0.65894,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2469,                 1.6051,                 1.1841,                0.23439,                0.03004,                0.03865,                0.02227,                  1.377,                 2.8029,                0.59109,              0.0019406,              0.0019406,              0.0019406
                      6,                  1.219,                 1.5683,                 1.1553,                0.21643,                0.03004,                0.04683,                0.02673,                 1.3733,                 2.8334,                0.58694,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.186,                 1.5519,                 1.1403,                0.25691,                0.02943,                0.04961,                0.03175,                  1.326,                 2.5726,                0.58387,               0.001901,               0.001901,               0.001901
                      8,                 1.1655,                 1.5415,                 1.1276,                0.22611,                0.02866,                0.03995,                0.02363,                  1.328,                  2.543,                0.56495,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1318,                 1.5015,                 1.1126,                  0.286,                0.02943,                0.04332,                0.02513,                 1.3069,                 2.6152,                0.54756,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1159,                 1.4973,                 1.1028,                0.20553,                0.03311,                0.04309,                0.02774,                 1.3772,                  2.495,                0.58818,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1165,                 1.4861,                 1.0901,                 0.2426,                0.04292,                0.05686,                0.03597,                 1.3075,                 2.5234,                0.58868,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1054,                 1.4506,                 1.0923,                0.29674,                0.03679,                0.05421,                0.03502,                 1.3633,                 2.4815,                0.53824,               0.001802,               0.001802,               0.001802
                     13,                  1.088,                 1.4384,                 1.0876,                0.29224,                0.02882,                0.04785,                0.02976,                 1.2518,                 2.3963,                0.54966,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0563,                  1.423,                 1.0779,                0.32658,                0.02943,                0.06109,                0.03862,                 1.3076,                 2.4108,                0.54479,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0682,                 1.4555,                 1.0743,                 0.4498,                0.03495,                0.04176,                0.02661,                 1.2559,                 2.6277,                0.51925,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0621,                  1.413,                 1.0782,                0.28624,                0.04108,                 0.0659,                0.04561,                 1.2013,                  2.302,                 0.5028,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0529,                 1.4162,                 1.0772,                0.34907,                0.04241,                0.06108,                0.03823,                 1.2129,                 2.2929,                0.52282,               0.001703,               0.001703,               0.001703
                     18,                 1.0366,                 1.3913,                 1.0737,                0.34975,                0.04537,                0.05291,                0.03326,                 1.2614,                 2.4823,                0.54772,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0301,                 1.3638,                 1.0589,                0.21605,                0.04231,                0.04305,                0.02698,                 1.4101,                 2.7499,                0.58739,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0347,                 1.3761,                 1.0658,                0.29909,                0.03617,                0.04608,                0.03024,                 1.1589,                 2.2557,                0.48299,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.0156,                 1.3384,                 1.0628,                0.31522,                0.04375,                0.06754,                0.04399,                 1.2395,                 2.3581,                0.52332,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0122,                 1.3418,                  1.061,                0.40981,                0.04108,                0.05349,                0.03447,                  1.194,                 2.2327,                0.51457,               0.001604,               0.001604,               0.001604
                     23,                 1.0014,                 1.3257,                 1.0544,                0.28691,                0.04169,                0.06602,                0.04072,                 1.2563,                 2.5325,                0.51799,              0.0015842,              0.0015842,              0.0015842
                     24,                  1.003,                 1.3363,                 1.0555,                0.46741,                0.07174,                0.08054,                0.05227,                 1.1652,                 2.4156,                0.52001,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.0124,                 1.3326,                 1.0542,                0.38982,                0.05641,                0.07878,                0.05377,                 1.1363,                 2.1831,                0.50179,              0.0015446,              0.0015446,              0.0015446
                     26,                0.99543,                 1.3422,                 1.0537,                0.40409,                0.04844,                0.08342,                0.05604,                 1.1912,                 2.2548,                0.49425,              0.0015248,              0.0015248,              0.0015248
                     27,                0.98247,                 1.3195,                 1.0523,                0.35735,                0.07909,                0.09399,                0.06616,                  1.135,                 2.2072,                0.48704,               0.001505,               0.001505,               0.001505
