                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0085,                 2.6201,                  1.713,                0.33046,                0.13482,                0.09914,                 0.0431,                 1.8013,                 4.3388,                 1.1833,             0.00066225,             0.00066225,             0.00066225
                      2,                  1.789,                 1.7715,                 1.6049,                0.36869,                0.07114,                 0.0623,                0.02567,                  1.924,                 3.5954,                 1.1987,              0.0013158,              0.0013158,              0.0013158
                      3,                 1.7647,                 1.5579,                 1.5795,                0.31659,                0.05217,                0.05053,                 0.0274,                 1.7074,                  2.848,                  1.075,              0.0019561,              0.0019561,              0.0019561
                      4,                 1.6924,                  1.432,                 1.5477,                 0.3864,                0.05081,                0.04804,                0.02398,                 1.5588,                 2.9675,                0.99957,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.623,                 1.3338,                 1.4893,                0.30867,                0.05014,                0.05709,                0.03099,                 1.6252,                 2.6042,                 1.0459,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5683,                 1.2596,                 1.4625,                0.33348,                0.03726,                  0.059,                 0.0322,                  1.429,                 2.2276,                0.94485,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5511,                 1.2439,                 1.4562,                0.31438,                0.02846,                 0.0364,                0.02067,                 1.6571,                 2.3987,                 1.0347,               0.001901,               0.001901,               0.001901
                      8,                 1.4974,                 1.1952,                 1.4105,                0.37193,                0.03997,                 0.0586,                0.03609,                 1.3993,                 2.1056,                0.94206,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4669,                 1.1508,                 1.3817,                0.33885,                0.04404,                0.05872,                0.03583,                 1.4459,                 2.2879,                0.93864,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4352,                 1.1084,                 1.3672,                0.46921,                 0.0481,                0.07473,                0.04564,                 1.3708,                 2.0534,                0.91157,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3981,                 1.0587,                  1.348,                0.36943,                0.04268,                0.06239,                0.03558,                 1.3916,                 1.9857,                0.91732,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3846,                 1.0564,                 1.3399,                 0.4717,                0.05081,                0.08072,                0.04729,                 1.4146,                 2.0026,                0.93418,               0.001802,               0.001802,               0.001802
                     13,                 1.3751,                 1.0252,                 1.3221,                 0.4186,                0.05962,                0.07869,                0.04818,                 1.3732,                 2.1075,                0.92043,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3234,                  1.004,                 1.3044,                0.58959,                0.06165,                0.08507,                0.05023,                 1.3189,                 1.8646,                0.89182,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3042,                0.97902,                 1.2932,                0.52319,                0.07249,                0.10273,                0.06476,                 1.2533,                 1.7764,                0.86594,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3049,                0.95947,                 1.2949,                0.58762,                0.12263,                0.14927,                0.08932,                 1.2993,                 1.7953,                0.87843,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2763,                0.93644,                 1.2644,                0.70334,                0.14295,                0.16407,                 0.0964,                 1.2585,                 1.7083,                0.86783,               0.001703,               0.001703,               0.001703
                     18,                 1.2612,                0.93262,                 1.2604,                0.59534,                0.15447,                0.18377,                 0.1114,                 1.2275,                 1.8478,                0.85132,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2501,                0.91321,                 1.2631,                 0.7047,                0.25407,                0.28326,                0.17305,                 1.2588,                 1.6783,                0.87079,              0.0016634,              0.0016634,              0.0016634
