                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4991,                  2.068,                 1.9934,                 0.1657,                0.07843,                 0.0466,                0.02026,                 2.4155,                 3.6632,                0.91342,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.8526,                 1.5926,                 1.4644,                0.28976,                0.05588,                0.04811,                0.02195,                 2.2404,                   3.67,                 0.7892,              0.0013072,              0.0013072,              0.0013072
                      3,                 1.7354,                 1.5778,                 1.3444,                0.24056,                0.05049,                0.04838,                0.02437,                 2.0143,                 4.8296,                0.69137,              0.0019476,              0.0019476,              0.0019476
                      4,                 1.6714,                 1.5431,                 1.2814,                0.27157,                0.04804,                0.04633,                 0.0229,                 2.0164,                  4.028,                0.62097,              0.0019406,              0.0019406,              0.0019406
