                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6481,                 2.4343,                 1.4075,                0.29125,                0.06831,                 0.0541,                0.02544,                 1.6018,                 4.0049,                0.92792,             0.00055126,             0.00055126,             0.00055126
                      2,                 1.3035,                 1.3889,                 1.2248,                0.44088,                0.04189,                 0.0376,                 0.0198,                 1.4504,                 3.2029,                0.89002,              0.0010339,              0.0010339,              0.0010339
                      3,                 1.1691,                 1.0444,                 1.1574,                0.20457,                0.02774,                0.01766,                0.01087,                 1.3362,                 2.9835,                0.84424,              0.0014431,              0.0014431,              0.0014431
                      4,                 1.0874,                0.88962,                  1.118,                0.31477,                0.02386,                0.02452,                0.01651,                  1.245,                 2.2327,                 0.8034,              0.0013369,              0.0013369,              0.0013369
                      5,                0.97801,                0.77701,                 1.0612,                0.28969,                0.02322,                0.02584,                0.01728,                 1.1854,                 2.0401,                0.78204,              0.0012269,              0.0012269,              0.0012269
                      6,                0.89326,                0.67263,                 1.0168,                 0.4081,                0.02879,                0.02937,                0.01981,                 1.1154,                 1.9751,                0.75606,              0.0011169,              0.0011169,              0.0011169
                      7,                0.80081,                0.58756,                0.97731,                0.36983,                0.02192,                0.03537,                 0.0261,                 1.0857,                 1.9621,                0.75479,              0.0010069,              0.0010069,              0.0010069
                      8,                0.73148,                0.53595,                0.94844,                0.23855,                0.02171,                0.03505,                0.02519,                 1.0153,                 2.2354,                0.73533,             0.00089685,             0.00089685,             0.00089685
                      9,                0.66177,                0.47642,                0.91876,                0.33731,                0.02881,                0.05323,                 0.0371,                0.96683,                 1.8036,                0.71799,             0.00078682,             0.00078682,             0.00078682
                     10,                0.59743,                 0.4327,                0.89235,                 0.2385,                0.04406,                0.05777,                0.04068,                0.95087,                 2.2259,                0.72333,              0.0006768,              0.0006768,              0.0006768
                     11,                0.54204,                0.39178,                0.87324,                0.47905,                0.03868,                0.07044,                0.05502,                0.93525,                 1.9056,                0.71146,             0.00056678,             0.00056678,             0.00056678
                     12,                0.48497,                0.36578,                0.85621,                0.50006,                0.05759,                0.11336,                0.08722,                0.89976,                 1.8943,                0.70628,             0.00045676,             0.00045676,             0.00045676
                     13,                 0.4363,                 0.3307,                0.84145,                0.74094,                0.15059,                0.20297,                0.13524,                0.89611,                 2.2983,                0.71053,             0.00034674,             0.00034674,             0.00034674
                     14,                0.38376,                0.29679,                0.82934,                0.79492,                0.30493,                0.37688,                0.26204,                 0.8802,                 1.9445,                0.70868,             0.00023671,             0.00023671,             0.00023671
                     15,                0.34002,                0.27241,                0.81937,                0.74106,                0.32797,                0.37652,                0.26678,                0.86897,                 2.0655,                0.70537,             0.00012669,             0.00012669,             0.00012669
