                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4991,                  2.068,                 1.9934,                0.15987,                0.07353,                0.04413,                0.01902,                 2.4155,                 3.6632,                0.91342,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.8526,                 1.5926,                 1.4644,                0.18681,                0.04608,                0.04186,                0.01939,                 2.2404,                   3.67,                 0.7892,              0.0013072,              0.0013072,              0.0013072
                      3,                 1.7354,                 1.5778,                 1.3444,                0.24056,                0.05049,                0.04838,                0.02437,                 2.0143,                 4.8296,                0.69137,              0.0019476,              0.0019476,              0.0019476
                      4,                 1.6714,                 1.5431,                 1.2814,                0.27157,                0.04804,                0.04633,                 0.0229,                 2.0164,                  4.028,                0.62097,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5816,                 1.5079,                 1.2156,                0.22917,                0.03578,                0.04672,                0.02488,                  1.892,                  3.234,                0.61523,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5293,                 1.4692,                 1.1725,                0.17391,                0.03676,                0.04545,                0.02147,                 1.9933,                 2.7948,                 0.6527,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4702,                 1.4438,                 1.1486,                0.29235,                0.03382,                0.05785,                0.03205,                 1.8984,                 2.4564,                0.66102,               0.001901,               0.001901,               0.001901
                      8,                 1.4456,                 1.4372,                 1.1115,                0.28187,                0.03529,                0.05557,                0.03157,                 1.6961,                  2.485,                0.53432,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4083,                 1.4084,                 1.0879,                0.28598,                 0.0348,                 0.0498,                0.02799,                  1.829,                  2.338,                0.53727,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4342,                 1.4261,                 1.0889,                0.24906,                0.03676,                0.05676,                0.03142,                 1.7604,                 2.4913,                0.57025,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3871,                 1.3976,                 1.0826,                0.29067,                0.03627,                0.05151,                0.02957,                 1.7566,                 2.5213,                0.54918,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3528,                  1.374,                 1.0649,                0.29976,                0.04167,                0.06298,                0.03786,                 1.5856,                 2.2407,                0.46655,               0.001802,               0.001802,               0.001802
                     13,                 1.3472,                 1.3646,                  1.054,                0.31045,                0.03627,                0.07063,                0.04314,                 1.5609,                  2.186,                0.48402,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3517,                 1.3723,                 1.0557,                0.29211,                0.03431,                 0.0648,                 0.0391,                 1.4967,                 2.1073,                0.45051,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3304,                  1.355,                 1.0456,                0.30091,                0.03676,                0.06244,                0.03871,                 1.6583,                 2.3394,                0.48289,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2915,                  1.331,                 1.0427,                0.33685,                0.03578,                0.06358,                0.03826,                 1.5492,                 2.1137,                0.48402,              0.0017228,              0.0017228,              0.0017228
                     17,                  1.272,                 1.3305,                 1.0374,                0.29463,                0.03824,                0.05697,                0.03458,                 1.5805,                 2.1675,                0.47727,               0.001703,               0.001703,               0.001703
                     18,                 1.2647,                 1.3164,                 1.0316,                 0.3002,                0.03922,                0.06717,                0.04086,                 1.5313,                 2.0968,                0.45978,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2767,                   1.32,                 1.0317,                0.37397,                 0.0402,                0.07601,                0.04705,                 1.4972,                  2.041,                0.45393,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2526,                 1.2987,                 1.0268,                0.36544,                 0.0348,                0.07916,                0.04922,                 1.4852,                 1.9497,                0.45485,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2591,                 1.2898,                 1.0252,                0.37193,                0.03529,                0.06607,                0.04078,                 1.4726,                 2.0463,                0.46359,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2337,                 1.2946,                 1.0236,                0.35838,                0.03873,                0.06624,                0.04075,                  1.412,                  2.053,                0.43241,               0.001604,               0.001604,               0.001604
                     23,                 1.2269,                 1.2893,                 1.0261,                 0.3107,                0.03824,                0.06306,                0.03964,                 1.5066,                  2.082,                 0.4408,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2356,                  1.294,                 1.0175,                0.37389,                0.04804,                0.06844,                0.04171,                 1.5798,                 2.1689,                0.43468,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2149,                 1.2688,                 1.0086,                0.38379,                0.04706,                0.06931,                0.04406,                 1.4307,                 2.0853,                 0.4321,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.2009,                 1.2566,                 1.0162,                0.30822,                0.04314,                0.06477,                0.03998,                 1.4515,                 2.0892,                0.44416,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2173,                 1.2632,                  1.012,                0.32647,                0.04706,                0.07242,                0.04459,                 1.4302,                 2.0169,                0.42852,               0.001505,               0.001505,               0.001505
                     28,                 1.2042,                 1.2498,                  1.001,                0.40638,                0.04461,                0.07681,                0.04753,                 1.4311,                 2.0201,                0.44611,              0.0014852,              0.0014852,              0.0014852
                     29,                  1.201,                 1.2734,                 1.0082,                0.35352,                0.04412,                0.06654,                0.04358,                 1.4021,                 2.1293,                  0.425,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1952,                 1.2358,                 1.0035,                0.48846,                0.03725,                0.06676,                0.04317,                 1.4323,                 2.0484,                0.42638,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.1924,                 1.2367,                 1.0085,                0.42621,                0.03627,                0.06967,                0.04308,                 1.4068,                 1.8717,                 0.4361,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.1787,                 1.2115,                 1.0054,                0.46674,                0.03971,                0.07046,                0.04455,                  1.352,                 1.7849,                 0.4171,               0.001406,               0.001406,               0.001406
                     33,                 1.1686,                 1.2132,                0.99277,                0.40059,                0.03775,                0.07345,                0.04757,                 1.4103,                 1.8413,                0.44884,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1612,                 1.2128,                0.99442,                0.53424,                0.04314,                0.08054,                0.05424,                 1.3406,                 1.8745,                0.42057,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1489,                 1.1966,                0.99155,                0.31333,                0.04657,                 0.0673,                0.04466,                 1.2988,                 1.9575,                0.40399,              0.0013466,              0.0013466,              0.0013466
