                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5175,                  2.286,                 2.0229,                0.41013,                0.06227,                0.08178,                0.03394,                 2.7089,                 4.7227,                 1.0224,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.8244,                 1.7531,                 1.4455,                0.13568,                 0.0539,                0.02758,                0.01095,                 2.4433,                 6.2688,                0.84688,              0.0013072,              0.0013072,              0.0013072
                      3,                 1.7192,                 1.7355,                 1.3711,                0.17331,                0.05762,                0.03805,                0.01648,                 2.2126,                 5.0361,                0.69133,              0.0019476,              0.0019476,              0.0019476
                      4,                 1.6454,                 1.6793,                 1.2981,                0.20391,                0.05112,                0.03721,                0.01644,                 1.9484,                 5.6648,                0.62077,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5727,                 1.6418,                 1.2438,                0.30952,                0.04083,                0.04374,                0.02061,                 1.8828,                 2.9065,                0.64839,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5043,                 1.5937,                 1.1773,                0.13312,                0.02881,                0.02277,                0.01211,                 2.0738,                 3.4439,                0.64168,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.477,                 1.5455,                 1.1558,                0.28585,                0.03346,                0.03766,                0.02205,                 1.7656,                 2.4908,                0.59053,               0.001901,               0.001901,               0.001901
                      8,                 1.3986,                 1.8792,                 1.1023,                0.24678,                0.03903,                 0.0381,                0.01932,                  1.763,                 2.9892,                 0.6044,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4225,                  1.531,                 1.1262,                0.26404,                0.03253,                0.04453,                 0.0241,                 1.5729,                 2.2457,                0.49778,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3858,                 1.5144,                 1.1163,                 0.2704,                0.03376,                0.03915,                0.02353,                 1.6179,                 2.2966,                0.50323,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3565,                 1.4884,                 1.0882,                0.26394,                0.03532,                0.04762,                0.02827,                 1.4802,                 2.1629,                0.48056,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3384,                 1.4688,                 1.0712,                0.26437,                0.03996,                0.04087,                0.02408,                 1.6278,                  2.556,                0.51873,               0.001802,               0.001802,               0.001802
                     13,                 1.3175,                 1.4538,                 1.0634,                0.28052,                0.03996,                0.05141,                0.02644,                  1.545,                 2.3432,                0.51589,              0.0017822,              0.0017822,              0.0017822
                     14,                  1.336,                   1.52,                 1.0859,                0.27368,                0.03439,                0.04056,                0.02395,                 1.5658,                 2.4219,                0.47165,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.309,                 1.4558,                 1.0559,                0.29602,                0.04368,                 0.0537,                0.02949,                 1.5491,                 2.4938,                0.47657,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2853,                 1.4334,                 1.0553,                0.34102,                0.04461,                0.06342,                0.03465,                 1.5504,                 2.1225,                0.50631,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2546,                 1.4171,                 1.0499,                0.38568,                0.04368,                0.06424,                0.03527,                 1.5331,                 2.0668,                0.49895,               0.001703,               0.001703,               0.001703
                     18,                  1.287,                 1.4281,                  1.038,                0.39293,                0.03532,                0.06189,                0.03723,                 1.4514,                 1.9205,                0.49278,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2649,                 1.4084,                 1.0433,                0.36606,                0.03625,                0.05284,                0.03197,                 1.4904,                 2.2235,                0.46694,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2478,                 1.3898,                 1.0278,                0.31489,                0.03717,                0.05064,                0.02971,                 1.4889,                 2.1655,                0.44251,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2268,                 1.3529,                 1.0123,                0.35698,                 0.0381,                0.06042,                0.03545,                 1.4479,                 1.9591,                0.42834,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2119,                 1.3679,                 1.0352,                0.34989,                0.03903,                0.05073,                0.03089,                 1.4628,                 2.2157,                 0.4527,               0.001604,               0.001604,               0.001604
                     23,                 1.2288,                 1.3491,                 1.0289,                0.32786,                0.04275,                0.07185,                0.04628,                 1.4617,                 1.9782,                0.44317,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1998,                 1.3406,                 1.0207,                 0.3005,                0.03439,                0.06065,                0.03752,                 1.4733,                 2.0796,                0.47504,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2042,                 1.3467,                 1.0173,                0.33706,                0.04275,                0.06656,                0.04043,                 1.5185,                 2.1867,                 0.4618,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.2008,                 1.3404,                 1.0152,                0.44087,                 0.0425,                 0.0615,                0.03714,                 1.3915,                 1.9066,                 0.4304,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2081,                 1.3402,                 1.0087,                0.30956,                0.03903,                0.04947,                0.02768,                 1.4429,                 2.5325,                 0.4291,               0.001505,               0.001505,               0.001505
                     28,                 1.1954,                 1.3242,                 1.0122,                0.33485,                 0.0474,                0.06154,                0.03677,                 1.3718,                 2.0017,                0.40847,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1651,                 1.3142,                 1.0066,                0.35652,                0.04182,                0.06285,                0.03888,                  1.343,                 1.8979,                0.41409,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1826,                   1.32,                 1.0032,                0.35299,                0.04368,                0.07819,                0.05061,                 1.3378,                 1.8836,                0.42864,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.2102,                 1.3426,                 1.0159,                0.31518,                0.03625,                0.06031,                0.03872,                 1.3919,                 1.9414,                0.43862,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.189,                 1.3289,                 1.0087,                0.50837,                0.03903,                0.06993,                0.04508,                 1.3298,                 1.8354,                0.42109,               0.001406,               0.001406,               0.001406
                     33,                 1.1493,                 1.2821,                0.99895,                0.39425,                0.04089,                0.06405,                0.04046,                 1.3847,                 1.9448,                0.41802,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1624,                  1.304,                 1.0094,                0.39343,                0.03346,                0.06217,                0.03877,                 1.3437,                 1.8289,                 0.4303,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1364,                 1.2719,                 1.0007,                 0.4867,                0.05297,                0.08975,                0.05869,                 1.3271,                 1.8599,                0.42558,              0.0013466,              0.0013466,              0.0013466
                     36,                   1.14,                 1.2784,                0.99885,                0.59607,                0.05112,                0.08339,                0.05333,                 1.3664,                 1.8285,                0.43672,              0.0013268,              0.0013268,              0.0013268
