                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5315,                 1.8364,                 1.4646,                0.07161,                0.05663,                0.01851,                0.00954,                 1.9189,                 25.434,                 1.6354,             0.00055126,             0.00055126,             0.00055126
                      2,                 1.3351,                 1.2647,                 1.3588,                 0.1433,                0.04217,                 0.0308,                0.01856,                 1.3988,                 7.5287,                0.92685,               0.001096,               0.001096,               0.001096
                      3,                 1.1432,                 1.0247,                  1.233,                0.10992,                0.03471,                0.02393,                0.01291,                 1.4307,                 4.9787,                0.97802,              0.0016297,              0.0016297,              0.0016297
                      4,                 1.0449,                0.89597,                 1.1756,                0.14319,                0.02877,                0.02755,                0.01576,                  1.169,                 2.7639,                0.83908,              0.0016175,              0.0016175,              0.0016175
                      5,                0.91433,                0.74643,                 1.1018,                0.20284,                0.03666,                0.03837,                0.02197,                 1.0909,                 2.1153,                0.80105,               0.001601,               0.001601,               0.001601
                      6,                0.81248,                0.64703,                 1.0494,                0.19891,                0.03049,                0.05393,                0.03264,                0.98236,                 1.6696,                0.75621,              0.0015845,              0.0015845,              0.0015845
                      7,                0.74616,                0.58971,                 1.0142,                0.44342,                0.03952,                0.06839,                0.04296,                0.94976,                 1.5968,                0.75481,               0.001568,               0.001568,               0.001568
                      8,                0.67964,                0.52957,                  0.978,                0.34344,                0.04282,                0.08078,                0.05296,                0.86106,                 1.4334,                 0.7205,              0.0015515,              0.0015515,              0.0015515
                      9,                0.63258,                0.48263,                0.95114,                 0.4555,                0.06202,                0.09297,                0.05892,                0.88063,                 1.4753,                0.72205,               0.001535,               0.001535,               0.001535
                     10,                0.59509,                0.45286,                0.92428,                0.38898,                0.05801,                0.10281,                0.06985,                0.84732,                 1.4322,                0.71189,              0.0015185,              0.0015185,              0.0015185
                     11,                0.55607,                0.42917,                0.90714,                0.46301,                0.13841,                0.17562,                0.11998,                0.80712,                 1.4002,                0.70378,               0.001502,               0.001502,               0.001502
                     12,                 0.5346,                0.40311,                0.90147,                0.51396,                0.24942,                0.25394,                0.17845,                0.77684,                  1.346,                0.68842,              0.0014855,              0.0014855,              0.0014855
                     13,                0.50101,                0.37796,                0.88442,                0.49473,                0.12344,                0.14903,                0.10437,                0.78594,                 1.3659,                  0.694,               0.001469,               0.001469,               0.001469
                     14,                0.47823,                0.35589,                0.87444,                0.55544,                0.39205,                0.40649,                0.29006,                0.75334,                 1.2372,                 0.6829,              0.0014525,              0.0014525,              0.0014525
                     15,                0.45531,                0.34283,                0.86239,                0.64785,                0.41056,                0.42496,                0.30082,                0.76004,                 1.3204,                0.69222,               0.001436,               0.001436,               0.001436
                     16,                0.43287,                0.31996,                0.85113,                0.65226,                 0.4062,                0.45902,                0.31266,                0.73489,                 1.2671,                0.68524,              0.0014195,              0.0014195,              0.0014195
                     17,                0.41397,                0.30833,                0.84646,                0.57576,                0.37569,                0.40376,                0.27999,                0.73821,                 1.3784,                0.68751,              0.0014029,              0.0014029,              0.0014029
                     18,                0.39883,                0.29609,                0.83361,                0.49549,                0.32646,                0.35596,                0.24973,                0.72774,                  1.336,                0.68776,              0.0013864,              0.0013864,              0.0013864
                     19,                0.38598,                0.28505,                 0.8341,                0.59788,                0.30657,                0.35782,                0.25232,                0.72142,                 1.2289,                0.68865,              0.0013699,              0.0013699,              0.0013699
                     20,                0.36112,                0.27125,                0.82451,                0.63408,                0.33137,                 0.3753,                0.26803,                0.71989,                 1.2788,                0.69111,              0.0013534,              0.0013534,              0.0013534
                     21,                0.35016,                0.26366,                0.82095,                0.54788,                 0.2907,                0.34401,                0.23567,                0.69752,                 1.2423,                0.68233,              0.0013369,              0.0013369,              0.0013369
                     22,                0.33408,                0.25203,                 0.8152,                0.61258,                0.34667,                0.40159,                0.28801,                0.69296,                 1.2667,                0.67889,              0.0013204,              0.0013204,              0.0013204
