                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7911,                 2.0059,                 1.6684,                0.18177,                0.06878,                0.04552,                0.02381,                 1.9183,                 4.5718,                0.94117,             0.00066225,             0.00066225,             0.00066225
                      2,                  1.412,                 1.7227,                 1.3321,                0.18321,                0.02996,                0.02351,                0.01463,                 1.5396,                  3.956,                0.63409,              0.0013158,              0.0013158,              0.0013158
                      3,                 1.3336,                 1.6528,                  1.231,                0.19449,                0.01814,                0.02183,                 0.0149,                  1.661,                 3.1675,                0.65236,              0.0019561,              0.0019561,              0.0019561
                      4,                 1.2779,                 1.6094,                 1.1692,                0.15368,                0.01857,                0.02053,                 0.0145,                 1.7512,                 3.3793,                 0.6728,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1979,                 1.5673,                 1.1382,                 0.2806,                0.01857,                0.03469,                0.02369,                 1.6134,                 2.8911,                0.61529,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1743,                 1.5259,                 1.1186,                0.21484,                0.01772,                0.03444,                0.02383,                 1.4931,                  2.971,                0.57999,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1504,                 1.5012,                 1.1052,                0.29845,                0.02025,                0.03398,                0.02432,                 1.4006,                 2.8598,                0.55649,               0.001901,               0.001901,               0.001901
                      8,                 1.1389,                 1.4871,                 1.0956,                0.24557,                0.02236,                0.02841,                0.02077,                  1.373,                 2.6986,                0.51825,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1102,                 1.4358,                 1.0857,                0.22327,                0.02489,                0.03231,                0.02374,                 1.3228,                  2.665,                0.49443,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0834,                 1.4286,                 1.0695,                0.24467,                0.02447,                0.04588,                0.03172,                 1.4218,                 2.6604,                0.57011,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.082,                 1.4035,                 1.0751,                0.36471,                 0.0308,                 0.0457,                0.03227,                 1.2787,                 2.6197,                0.48969,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0706,                  1.412,                 1.0732,                0.29045,                0.03122,                0.05277,                0.03785,                 1.3836,                  2.763,                0.53418,               0.001802,               0.001802,               0.001802
                     13,                 1.0632,                 1.3884,                  1.069,                0.48354,                0.03249,                0.05613,                0.03936,                 1.1812,                 2.5076,                  0.487,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0482,                 1.3833,                 1.0631,                0.32506,                0.02764,                0.05619,                0.04066,                 1.2081,                 2.4309,                0.48724,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.039,                 1.3746,                 1.0599,                0.37692,                0.04515,                0.06812,                0.04697,                 1.2255,                 2.5033,                0.48183,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0214,                 1.3657,                 1.0649,                0.44558,                0.07562,                 0.1025,                0.07282,                 1.1461,                 2.2449,                 0.4606,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0177,                 1.3311,                  1.051,                0.37981,                0.05401,                0.07785,                0.05179,                 1.3175,                 2.4665,                0.51712,               0.001703,               0.001703,               0.001703
                     18,                 1.0183,                 1.3364,                 1.0526,                0.47553,                0.03249,                0.05528,                0.03769,                  1.198,                 2.3776,                0.48656,              0.0016832,              0.0016832,              0.0016832
