                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2261,                 1.8997,                 1.7976,                0.33873,                0.07755,                0.07152,                0.03131,                 2.1362,                 3.2193,                0.85236,             0.00066007,             0.00066007,             0.00066007
                      2,                  1.656,                 1.5292,                 1.3244,                0.25608,                0.05879,                0.06006,                0.03064,                 1.8939,                 3.4725,                0.62863,              0.0013136,              0.0013136,              0.0013136
                      3,                 1.5537,                 1.5035,                 1.2101,                0.29211,                0.03801,                0.05332,                0.02633,                 1.9471,                 3.0224,                0.65752,              0.0019539,              0.0019539,              0.0019539
                      4,                 1.4695,                 1.4603,                 1.1289,                0.20579,                0.02889,                0.04235,                0.02276,                 1.7332,                 2.9272,                0.54786,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4419,                 1.4444,                 1.0945,                0.30603,                0.03041,                0.04749,                0.02395,                 1.9531,                 2.5407,                0.56511,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3665,                 1.3981,                 1.0585,                0.29668,                0.03421,                0.05897,                0.03624,                 1.6332,                 2.3059,                0.51011,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3364,                  1.387,                 1.0551,                0.34787,                 0.0299,                0.06795,                0.04189,                 1.5921,                 2.1368,                0.47223,               0.001901,               0.001901,               0.001901
                      8,                 1.3239,                 1.3492,                 1.0425,                0.34404,                0.03345,                0.06272,                0.03907,                 1.5258,                 2.1991,                0.46742,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2994,                 1.3312,                 1.0342,                0.31642,                0.03168,                0.05044,                0.03124,                 1.5185,                 2.1373,                0.45757,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2663,                 1.3114,                 1.0253,                0.35467,                0.03066,                0.06616,                0.04189,                 1.5163,                 2.0561,                0.46138,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2559,                 1.2947,                 1.0203,                0.28128,                0.02965,                0.04973,                0.03201,                 1.4754,                 2.1748,                0.44402,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2293,                 1.2905,                 1.0184,                0.32321,                0.03117,                0.05061,                0.03215,                 1.4433,                 2.1297,                0.43768,               0.001802,               0.001802,               0.001802
                     13,                 1.2338,                   1.28,                 1.0136,                0.38503,                0.03523,                0.06669,                0.04559,                 1.3986,                 1.9884,                0.42374,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2146,                 1.2593,                 1.0013,                0.39421,                0.04232,                0.06501,                0.04254,                 1.4071,                  1.932,                0.41698,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2039,                 1.2308,                0.99738,                0.38094,                 0.0408,                0.06834,                0.04426,                 1.4387,                 1.9132,                0.43248,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.1832,                 1.2317,                0.99865,                0.37974,                0.03092,                0.05558,                0.03528,                 1.4054,                 1.9749,                0.41424,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1736,                 1.2291,                0.99698,                0.35533,                0.04257,                0.07183,                 0.0473,                 1.3347,                 1.8097,                0.41466,               0.001703,               0.001703,               0.001703
