                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3792,                 2.4705,                 1.7942,                0.43037,                0.15096,                0.13374,                0.06911,                 1.8102,                 3.6867,                0.65679,             0.00066225,             0.00066225,             0.00066225
                      2,                 1.6981,                 1.6042,                 1.2033,                0.35267,                0.07548,                0.06756,                0.03789,                 1.6875,                 3.3536,                0.68116,              0.0013158,              0.0013158,              0.0013158
                      3,                 1.5628,                 1.4055,                 1.0893,                0.25384,                0.04597,                 0.0463,                0.02772,                 1.6709,                  3.326,                 0.5358,              0.0019561,              0.0019561,              0.0019561
                      4,                 1.5002,                 1.3388,                 1.0479,                0.31652,                0.05392,                0.05695,                0.02814,                 1.6066,                 2.6753,                0.51406,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.412,                 1.3057,                 1.0284,                0.46833,                0.06073,                0.07435,                0.04591,                 1.4189,                 2.3896,                0.47577,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3886,                 1.2368,                0.99535,                0.28667,                0.02838,                0.04596,                0.02824,                 1.4489,                 2.2373,                0.48058,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3473,                  1.244,                0.98603,                0.32021,                0.04654,                0.05241,                 0.0339,                 1.3177,                 2.0592,                 0.4225,               0.001901,               0.001901,               0.001901
                      8,                 1.3232,                 1.1327,                 0.9824,                0.37517,                0.03462,                0.04118,                0.02566,                 1.3299,                 2.1282,                0.42984,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2913,                 1.1212,                0.97534,                0.25043,                0.03575,                0.03628,                0.02432,                 1.4019,                 2.7719,                0.44178,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2924,                 1.1187,                0.97104,                0.35493,                0.03292,                0.05682,                0.03788,                 1.2703,                 1.9184,                0.43834,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2653,                 1.0887,                0.97119,                 0.4397,                0.03859,                0.04561,                0.03002,                 1.3024,                  2.049,                 0.4393,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2548,                 1.0734,                0.96378,                0.47387,                0.04143,                0.06852,                0.04652,                 1.2125,                 1.8648,                0.41027,               0.001802,               0.001802,               0.001802
                     13,                 1.2163,                 1.0637,                0.95509,                0.31035,                0.04086,                0.04148,                0.02408,                 1.3433,                 2.4196,                0.45386,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2222,                 1.0379,                0.95652,                0.57189,                0.05278,                0.08281,                 0.0554,                 1.1872,                 1.7323,                0.41568,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.1865,                0.99477,                0.94634,                0.43294,                0.06186,                 0.0656,                0.04272,                 1.3048,                 1.9458,                0.44438,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.1503,                0.99959,                0.95177,                0.73426,                0.08797,                0.10867,                0.06932,                 1.2917,                 1.8327,                0.42641,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1923,                0.99347,                0.94208,                0.59416,                0.05902,                 0.0778,                0.04925,                  1.204,                 1.7364,                0.42615,               0.001703,               0.001703,               0.001703
                     18,                  1.142,                0.96429,                 0.9366,                0.61897,                0.12316,                 0.1509,                0.09892,                 1.1788,                 1.6862,                0.42916,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.1568,                 1.0517,                0.94044,                0.60413,                0.10556,                0.12104,                0.08014,                 1.1699,                 1.7524,                0.41597,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1246,                0.94702,                0.93981,                0.58432,                0.12032,                0.13017,                0.08339,                 1.2085,                 1.7856,                0.42503,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1096,                0.94503,                0.93566,                0.62635,                0.12826,                 0.1545,                0.10204,                 1.1267,                  1.645,                0.40792,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1147,                0.93399,                 0.9323,                0.73225,                0.16459,                0.20568,                0.13528,                 1.1702,                 1.6827,                0.41264,               0.001604,               0.001604,               0.001604
