                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4675,                 1.7998,                  1.426,                0.35341,                0.06962,                  0.078,                0.04344,                 1.1923,                 1.9679,                0.79583,              0.0033201,              0.0033201,              0.0033201
                      2,                0.93096,                0.74862,                 1.0844,                0.41632,                0.05421,                0.06049,                0.04119,                0.94939,                 1.7885,                0.71562,              0.0065875,              0.0065875,              0.0065875
                      3,                0.89857,                0.71814,                 1.0611,                0.11407,                 0.0173,                0.01955,                 0.0121,                 1.1438,                 4.1952,                0.80825,               0.009789,               0.009789,               0.009789
                      4,                0.91559,                0.71867,                 1.0694,                0.28302,                 0.0226,                 0.0311,                0.02234,                 1.0071,                 3.2293,                0.75551,               0.009703,               0.009703,               0.009703
                      5,                0.81364,                0.62044,                 1.0214,                0.57805,                0.04094,                0.06213,                0.04642,                0.92843,                 1.4611,                0.71822,               0.009604,               0.009604,               0.009604
                      6,                0.73326,                0.55426,                0.98052,                0.55011,                0.09266,                  0.116,                0.08243,                0.82843,                 1.8892,                0.68497,               0.009505,               0.009505,               0.009505
                      7,                0.67569,                0.50671,                0.95449,                 0.6535,                0.14455,                0.18263,                0.13692,                0.77564,                 1.2396,                0.67073,               0.009406,               0.009406,               0.009406
                      8,                0.62549,                 0.4591,                0.93056,                 0.6795,                0.30428,                 0.3081,                0.23024,                0.74667,                  1.257,                0.66045,               0.009307,               0.009307,               0.009307
                      9,                0.58309,                 0.4293,                0.91416,                0.49765,                0.12586,                0.15145,                0.11116,                0.74608,                 1.2633,                 0.6681,               0.009208,               0.009208,               0.009208
                     10,                0.54976,                0.40301,                0.90006,                0.78732,                0.29901,                0.34814,                0.25825,                0.73199,                 1.2466,                0.66437,               0.009109,               0.009109,               0.009109
                     11,                0.52366,                0.38428,                0.88767,                0.83929,                0.67178,                0.72278,                0.53502,                0.70626,                 1.1219,                0.65035,                0.00901,                0.00901,                0.00901
                     12,                0.49605,                0.36002,                0.87698,                0.71577,                 0.4201,                0.46804,                0.35221,                0.68293,                 1.0883,                0.65064,               0.008911,               0.008911,               0.008911
                     13,                0.46734,                0.34483,                0.86281,                0.86222,                0.68196,                0.78392,                0.58026,                0.67172,                 1.0577,                0.64732,               0.008812,               0.008812,               0.008812
                     14,                0.45289,                 0.3309,                0.85802,                 0.9058,                0.81138,                0.89382,                0.66086,                0.65937,                0.95631,                0.64436,               0.008713,               0.008713,               0.008713
                     15,                0.42793,                 0.3161,                0.84586,                0.85155,                0.60862,                0.66286,                0.50189,                0.66376,                0.97768,                0.65155,               0.008614,               0.008614,               0.008614
                     16,                0.41664,                0.30601,                0.84309,                0.78977,                0.53808,                0.60857,                0.46671,                0.63325,                0.97445,                0.64065,               0.008515,               0.008515,               0.008515
                     17,                0.40122,                0.29748,                0.83749,                0.88541,                0.47666,                0.56439,                0.42758,                 0.6367,                 1.0773,                0.65243,               0.008416,               0.008416,               0.008416
                     18,                0.38597,                0.28331,                0.83174,                0.82914,                0.53368,                0.61698,                0.47684,                0.62875,                0.94986,                0.64478,               0.008317,               0.008317,               0.008317
                     19,                 0.3714,                 0.2729,                 0.8269,                0.90217,                0.50956,                0.62856,                0.48806,                0.59823,                0.90743,                0.63571,               0.008218,               0.008218,               0.008218
