                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1453,                 2.1275,                 1.9101,                0.01763,                0.06739,                0.00431,                0.00172,                 2.7362,                    inf,                  1.745,              0.0006621,              0.0006621,              0.0006621
                      2,                 2.1071,                 1.7402,                 1.9158,                0.22728,                0.05594,                0.04419,                0.01985,                 2.1497,                 9.8359,                 1.4701,              0.0013156,              0.0013156,              0.0013156
                      3,                 2.0124,                 1.6428,                 1.8318,                0.24782,                0.04768,                0.03526,                0.01297,                 2.3912,                 5.5028,                  1.537,              0.0019559,              0.0019559,              0.0019559
                      4,                 1.9389,                 1.5374,                 1.7917,                0.26798,                0.05277,                0.04379,                0.02339,                 1.7549,                 3.0936,                 1.1567,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8591,                 1.4674,                 1.7296,                 0.2753,                0.05213,                0.05214,                0.02766,                 1.7462,                  3.017,                 1.1562,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7947,                 1.3954,                 1.6842,                0.23694,                0.04132,                0.04159,                 0.0222,                 1.7305,                 2.9604,                 1.1523,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7107,                 1.3216,                 1.6294,                0.23694,                0.02988,                0.04073,                0.02307,                 1.6747,                 2.5214,                 1.1183,               0.001901,               0.001901,               0.001901
                      6,                 1.7974,                 1.3945,                 1.7067,                0.46539,                0.09218,                0.08973,                0.04037,                 1.9805,                 3.4454,                 1.2567,              0.0019406,              0.0019406,              0.0019406
                      7,                  1.719,                 1.3095,                 1.6361,                0.35308,                0.07057,                0.07549,                0.03918,                 1.7499,                 2.5113,                 1.1553,               0.001901,               0.001901,               0.001901
                      8,                 1.6836,                 1.2747,                 1.6019,                 0.2628,                 0.0623,                 0.0702,                0.03761,                  1.751,                 2.5921,                 1.1435,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6454,                 1.2341,                 1.5811,                0.37159,                0.07311,                0.08069,                0.04753,                 1.5894,                 2.3686,                 1.0904,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6344,                 1.2346,                 1.5816,                0.44485,                0.09091,                0.10699,                0.06172,                 1.5491,                 2.1719,                 1.0569,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.5651,                 1.1642,                 1.5259,                 0.2855,                0.04577,                0.04484,                0.02534,                 1.4723,                 2.1955,                  1.019,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5478,                 1.1626,                 1.5171,                0.35941,                0.06484,                0.07458,                0.04408,                 1.4934,                 2.2665,                 1.0182,               0.001802,               0.001802,               0.001802
                     13,                 1.5039,                 1.0959,                 1.4923,                 0.5653,                0.07438,                0.09564,                0.05494,                 1.6099,                  2.251,                  1.068,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4985,                 1.0913,                 1.4828,                 0.4779,                0.07819,                0.09658,                0.05824,                 1.5536,                 2.0758,                 1.0423,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4464,                 1.0497,                 1.4426,                0.35383,                0.04577,                0.04874,                 0.0273,                 1.8291,                 2.6666,                 1.2029,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.4194,                 1.0335,                 1.4273,                0.47329,                0.07374,                0.09006,                0.05568,                  1.466,                 2.0627,                 1.0064,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3885,                  1.013,                 1.4042,                0.55914,                0.12905,                0.15097,                0.09105,                 1.4437,                  1.932,                0.99141,               0.001703,               0.001703,               0.001703
                     18,                 1.3982,                 1.0014,                 1.4196,                0.40719,                 0.0979,                0.11818,                0.07006,                 1.4911,                 2.0396,                  1.019,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3675,                 0.9627,                 1.3922,                0.43257,                0.10108,                0.11272,                 0.0663,                   1.57,                 2.1834,                 1.0598,              0.0016634,              0.0016634,              0.0016634
