                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9525,                  2.239,                 1.7484,                 0.3907,                0.05338,                0.05163,                0.02847,                 1.6379,                 2.6219,                0.96079,              0.0033201,              0.0033201,              0.0033201
                      2,                 1.3579,                 1.0103,                 1.3197,                0.37318,                 0.0446,                0.04754,                 0.0284,                 1.4105,                 2.0556,                0.87257,              0.0065875,              0.0065875,              0.0065875
                      3,                 1.2441,                0.90743,                 1.2474,                0.27852,                0.02283,                0.01983,                0.01058,                 1.5058,                 2.7134,                0.95419,               0.009789,               0.009789,               0.009789
                      4,                 1.2375,                 0.8791,                  1.252,                0.16663,                 0.0235,                0.02311,                0.01393,                  1.372,                 2.5751,                0.88433,               0.009703,               0.009703,               0.009703
                      5,                 1.1012,                0.74706,                 1.1736,                0.24811,                 0.0343,                0.03147,                0.02062,                 1.2377,                 2.1949,                0.82816,               0.009604,               0.009604,               0.009604
                      6,                 1.0048,                0.66101,                 1.1205,                0.33434,                0.05309,                0.05593,                0.03326,                 1.1891,                 1.9396,                0.80871,               0.009505,               0.009505,               0.009505
                      7,                0.92147,                0.59544,                 1.0723,                0.44064,                0.08835,                0.08788,                0.05678,                 1.1378,                 1.6944,                0.78926,               0.009406,               0.009406,               0.009406
                      8,                0.85174,                0.54715,                 1.0333,                0.36284,                0.04566,                0.07966,                0.04898,                 1.1011,                  1.471,                0.77909,               0.009307,               0.009307,               0.009307
                      9,                0.79735,                0.50914,                  1.001,                0.43339,                0.10452,                0.11532,                0.07498,                 1.0561,                 1.4943,                0.76929,               0.009208,               0.009208,               0.009208
                     10,                  0.749,                 0.4829,                0.97792,                0.52934,                0.18906,                0.20068,                0.12799,                 1.0252,                 1.3276,                0.76057,               0.009109,               0.009109,               0.009109
                     11,                0.71607,                0.49376,                0.95789,                0.64997,                 0.1947,                0.23284,                0.14402,                 1.0553,                  1.449,                0.76546,                0.00901,                0.00901,                0.00901
                     12,                0.67133,                0.42854,                0.93824,                 0.5291,                0.22118,                0.22101,                0.14344,                  1.006,                 1.3126,                 0.7593,               0.008911,               0.008911,               0.008911
                     13,                0.63509,                0.40963,                0.92115,                 0.5424,                0.20842,                0.20428,                0.13446,                 0.9778,                 1.4642,                0.75248,               0.008812,               0.008812,               0.008812
                     14,                0.60866,                0.39389,                0.90714,                0.56772,                0.23707,                0.23801,                0.15183,                0.96482,                 1.2702,                0.74736,               0.008713,               0.008713,               0.008713
                     15,                0.59789,                0.40318,                0.90887,                0.73175,                0.23925,                0.30477,                0.19779,                0.96287,                 1.2514,                0.75059,               0.008614,               0.008614,               0.008614
                     16,                0.55444,                0.36074,                0.87811,                0.65041,                0.19244,                0.23119,                0.15749,                0.94369,                 1.2881,                0.74494,               0.008515,               0.008515,               0.008515
                     17,                0.53753,                0.35164,                0.87382,                0.61166,                0.23321,                0.29097,                0.19259,                0.93689,                 1.2526,                0.74739,               0.008416,               0.008416,               0.008416
                     18,                0.51662,                0.33881,                0.86172,                0.64622,                 0.2217,                 0.2806,                0.18945,                0.92501,                 1.2097,                0.74073,               0.008317,               0.008317,               0.008317
                     19,                0.50157,                0.33084,                0.85982,                0.65782,                0.22649,                0.27516,                0.18652,                0.92441,                 1.2118,                0.74243,               0.008218,               0.008218,               0.008218
                     20,                 0.4823,                0.32194,                0.84908,                0.65464,                0.22689,                0.29163,                0.19156,                0.90774,                 1.1816,                0.74406,               0.008119,               0.008119,               0.008119
                     21,                0.46165,                0.31034,                0.83959,                0.69479,                0.24916,                0.32287,                0.21842,                0.90014,                 1.1452,                 0.7399,                0.00802,                0.00802,                0.00802
                     22,                0.44764,                0.29972,                0.83812,                0.66282,                0.25785,                0.34669,                0.24161,                0.89441,                  1.138,                0.73785,               0.007921,               0.007921,               0.007921
                     23,                0.43177,                0.29255,                 0.8312,                0.64809,                0.21362,                0.30306,                0.21571,                0.88463,                 1.1467,                0.73761,               0.007822,               0.007822,               0.007822
                     24,                0.42325,                0.28892,                0.82812,                 0.6442,                0.21688,                0.29974,                0.20122,                0.87826,                 1.1265,                0.74057,               0.007723,               0.007723,               0.007723
                     25,                0.40733,                0.30496,                0.82125,                0.59599,                0.21638,                0.30376,                0.21127,                0.88241,                 1.1773,                0.73678,               0.007624,               0.007624,               0.007624
                     26,                0.39427,                0.27176,                0.81961,                0.64016,                0.22661,                0.29297,                0.20521,                0.86882,                  1.163,                0.73377,               0.007525,               0.007525,               0.007525
                     27,                0.39509,                0.29779,                 0.8321,                0.64634,                0.14932,                0.27075,                0.19769,                0.87388,                 1.1341,                0.74102,               0.007426,               0.007426,               0.007426
                     28,                0.37392,                0.26055,                0.81306,                0.57421,                0.16444,                0.27785,                0.19758,                0.87054,                 1.1144,                 0.7417,               0.007327,               0.007327,               0.007327
                     29,                0.36378,                 0.2543,                0.81011,                 0.6858,                0.15839,                0.26945,                0.19069,                0.85627,                  1.111,                0.73073,               0.007228,               0.007228,               0.007228
                     30,                0.35553,                0.25048,                0.80812,                0.59302,                0.15929,                0.27667,                  0.202,                0.85067,                 1.0991,                0.73518,               0.007129,               0.007129,               0.007129
                     31,                0.34522,                0.24401,                 0.8027,                0.65703,                0.17792,                0.31517,                0.22437,                0.84232,                 1.0821,                0.73024,                0.00703,                0.00703,                0.00703
                     32,                0.33679,                0.23968,                0.80432,                0.67701,                0.14262,                0.27234,                0.19624,                0.84502,                 1.1214,                0.73098,               0.006931,               0.006931,               0.006931
                     33,                0.32895,                0.23481,                0.80108,                0.61833,                0.16794,                0.30021,                0.22311,                0.84112,                 1.1003,                 0.7303,               0.006832,               0.006832,               0.006832
