                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1023,                 2.2897,                 1.9347,                0.12476,                0.06861,                0.01992,                0.00643,                 2.5486,                 26.401,                 2.2948,             0.00066225,             0.00066225,             0.00066225
                      2,                 2.0341,                 1.9055,                 1.8791,                0.06246,                0.01683,                0.01024,                0.00405,                 3.4512,                 6.9947,                 2.1582,              0.0013158,              0.0013158,              0.0013158
                      3,                 1.9313,                 1.7851,                 1.8038,                0.21263,                0.03819,                0.02289,                0.01134,                 1.9815,                 6.2679,                 1.3169,              0.0019561,              0.0019561,              0.0019561
                      4,                  1.847,                 1.7031,                 1.7638,                0.15147,                0.03689,                0.02587,                0.01332,                 2.1603,                 4.3212,                 1.4387,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7993,                 1.6107,                  1.718,                0.13622,                0.04466,                0.03042,                0.01443,                 1.8323,                 3.8295,                 1.2008,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7473,                 1.5756,                 1.6743,                 0.1243,                0.03819,                0.02678,                0.01249,                 2.0694,                 3.7346,                 1.3067,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7072,                 1.4955,                 1.6598,                0.21001,                0.03301,                0.03172,                0.01985,                 1.7097,                 2.8323,                 1.1363,               0.001901,               0.001901,               0.001901
                      8,                 1.6458,                 1.4205,                 1.6131,                0.24173,                 0.0343,                 0.0426,                0.02406,                   1.71,                 2.8186,                 1.1391,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6201,                 1.3837,                 1.6085,                0.19344,                0.03107,                0.03478,                0.02078,                 1.8324,                 2.8533,                 1.1974,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.5421,                 1.3151,                 1.5547,                0.28099,                0.03948,                0.04462,                0.02556,                 1.5907,                 2.5528,                 1.1013,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.534,                 1.3045,                 1.5451,                0.30845,                0.04908,                0.04986,                0.03178,                  1.472,                 2.4283,                 1.0312,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5164,                 1.2446,                 1.5232,                0.28254,                0.03495,                0.04065,                0.02528,                 1.5397,                 2.5966,                 1.0526,               0.001802,               0.001802,               0.001802
                     13,                 1.4887,                 1.2216,                 1.5272,                0.26246,                0.04272,                0.05153,                0.03207,                  1.486,                 2.4646,                 1.0552,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4533,                 1.1779,                 1.5028,                0.25253,                0.03948,                0.03534,                0.02126,                 1.5153,                 2.5706,                 1.0577,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4198,                 1.1635,                 1.4747,                0.29243,                0.05049,                0.05375,                0.03275,                 1.5595,                 2.4971,                 1.0764,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.378,                 1.1449,                 1.4591,                0.26215,                0.05696,                0.05837,                0.03495,                 1.4661,                 2.3755,                 1.0239,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3592,                  1.099,                 1.4331,                0.39331,                0.09061,                0.09847,                0.05787,                 1.4949,                  2.331,                 1.0506,               0.001703,               0.001703,               0.001703
