                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92855,                0.58846,                 1.0984,                0.81753,                0.34733,                0.40573,                0.28348,                 1.1335,                 1.2904,                0.89144,             0.00065306,             0.00065306,             0.00065306
                      2,                0.95484,                 0.6267,                 1.0954,                0.74268,                0.22584,                 0.2475,                0.17487,                 1.0993,                 1.3093,                0.85776,              0.0013067,              0.0013067,              0.0013067
                      3,                0.99629,                0.65239,                 1.1214,                0.72674,                0.19287,                0.23616,                0.14965,                 1.2908,                 1.4423,                0.98873,              0.0019471,              0.0019471,              0.0019471
                      4,                 1.0236,                0.67785,                 1.1532,                0.76921,                0.25191,                 0.2848,                0.18764,                 1.1049,                  1.439,                0.87012,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0417,                0.70165,                 1.1523,                0.82348,                0.21565,                0.25764,                0.16841,                 1.1749,                  1.411,                0.89582,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.0358,                0.68734,                 1.1566,                 0.7542,                 0.1584,                0.22221,                0.15525,                 1.0827,                 1.2738,                0.84406,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0072,                0.67141,                 1.1335,                0.75634,                0.19275,                0.21764,                0.14304,                 1.2446,                 1.5073,                0.92917,               0.001901,               0.001901,               0.001901
                      8,                 1.0105,                0.65915,                 1.1545,                0.79839,                0.29771,                0.33981,                0.21623,                 1.1781,                 1.3719,                0.89604,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0273,                0.66433,                 1.1401,                0.72901,                0.31489,                0.33886,                0.19015,                 1.3892,                 1.6188,                 1.0195,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0295,                0.66137,                 1.1411,                0.80556,                0.34924,                0.39347,                0.27289,                 1.0994,                 1.3257,                0.85258,              0.0018416,              0.0018416,              0.0018416
                     11,                0.98949,                0.65824,                 1.1356,                0.78126,                0.27863,                0.29854,                0.18788,                 1.2378,                 1.5398,                0.96381,              0.0018218,              0.0018218,              0.0018218
                     12,                0.98865,                0.64059,                 1.1247,                0.83744,                0.52106,                0.57604,                0.36011,                 1.2462,                 1.4193,                 0.9837,               0.001802,               0.001802,               0.001802
                     13,                 1.0541,                 0.6824,                 1.1645,                0.76982,                0.45953,                0.48005,                0.31555,                 1.2755,                  1.485,                0.96235,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0189,                0.68452,                  1.139,                 0.8654,                0.31107,                0.33392,                0.22604,                 1.0647,                 1.2853,                0.84833,              0.0017624,              0.0017624,              0.0017624
                     15,                0.99513,                0.64641,                 1.1309,                0.82875,                0.68343,                0.73939,                0.48377,                 1.2148,                 1.3287,                0.94966,              0.0017426,              0.0017426,              0.0017426
                     16,                0.98641,                0.63429,                 1.1161,                0.83799,                0.62187,                0.69554,                0.44984,                 1.1355,                 1.3446,                0.89803,              0.0017228,              0.0017228,              0.0017228
                     17,                0.96749,                0.63301,                  1.105,                0.80505,                0.55534,                0.59061,                0.38964,                 1.1971,                 1.3654,                0.90638,               0.001703,               0.001703,               0.001703
                     18,                0.97012,                0.64008,                 1.1383,                0.84836,                0.54389,                0.59655,                0.37258,                 1.2575,                 1.4589,                0.98219,              0.0016832,              0.0016832,              0.0016832
                     19,                0.95416,                0.61554,                 1.0974,                0.79273,                0.39415,                0.41327,                0.26311,                 1.2332,                 1.3991,                0.95369,              0.0016634,              0.0016634,              0.0016634
